,Entity,Year,Vegetable Oil,Deaths
105,Luxembourg,2009,347.67123287671234,155.28547683690658
106,Malta,2009,290.958904109589,190.0209138202684
107,Moldova,2009,350.1369863013699,511.2774254280736
108,Montenegro,2009,318.0821917808219,389.0179386808626
109,Norway,2009,382.1917808219178,141.44253492888168
110,Poland,2009,320.54794520547944,284.98295846801125
111,Portugal,2009,500.5479452054794,155.40663329122572
112,Romania,2009,315.6164383561644,448.9593755586096
114,Serbia,2009,239.17808219178085,487.7498613143708
115,Slovakia,2009,295.8904109589041,360.8355642332507
116,Slovenia,2009,325.47945205479454,188.61061613777
118,Sweden,2009,404.3835616438356,164.1539851370374
120,Turkey,2009,576.986301369863,188.18046114303945
122,United Kingdom,2009,451.2328767123288,142.04075144983247
124,Armenia,2010,182.46575342465752,387.9319923084978
125,Austria,2010,596.7123287671234,167.38241724058025
127,Belarus,2010,377.2602739726028,532.9338282837558
128,Belgium,2010,458.6301369863014,134.30330468888724
129,Bosnia and Herzegovina,2010,184.93150684931504,342.10822252962083
130,Bulgaria,2010,308.2191780821918,471.6960762974449
131,Croatia,2010,273.6986301369863,308.9121449724304
132,Cyprus,2010,446.3013698630137,171.41827698719229
133,Denmark,2010,165.2054794520548,138.56186153807377
134,Estonia,2010,170.13698630136986,316.74739521332225
135,Finland,2010,249.04109589041096,177.8675487224636
137,Georgia,2010,180.0,509.1727667684327
138,Germany,2010,433.972602739726,164.8143254554063
139,Greece,2010,655.8904109589041,199.226403497134
140,Hungary,2010,488.2191780821918,332.4615476206609
141,Iceland,2010,155.34246575342465,129.50608719622397
142,Ireland,2010,436.4383561643836,142.27999174324776
144,Latvia,2010,355.06849315068496,406.9801158977024
145,Lithuania,2010,234.2465753424657,383.4679166165866
146,Luxembourg,2010,241.6438356164384,151.18450060828823
147,Malta,2010,290.958904109589,183.95809708741623
148,Moldova,2010,303.28767123287673,508.1909892616001
149,Montenegro,2010,318.0821917808219,379.068974239344
150,Norway,2010,443.83561643835617,137.36356043113668
151,Poland,2010,290.958904109589,268.10339639257734
152,Portugal,2010,500.5479452054794,147.93706406760714
153,Romania,2010,360.0,438.658986469717
155,Serbia,2010,226.84931506849315,475.3697454337645
156,Slovakia,2010,303.28767123287673,344.58424031845715
157,Slovenia,2010,325.47945205479454,180.871143623349
159,Sweden,2010,411.7808219178082,156.15271804698307
161,Turkey,2010,567.1232876712329,186.96242930899817
163,United Kingdom,2010,461.0958904109589,135.9897180962311
165,Armenia,2011,192.3287671232877,376.0225939638779
166,Austria,2011,549.8630136986301,163.1627366728858
169,Belgium,2011,557.2602739726028,131.49166505787147
170,Bosnia and Herzegovina,2011,180.0,339.55641554295966
171,Bulgaria,2011,310.6849315068493,461.4118248940841
172,Croatia,2011,273.6986301369863,297.8889100889335
173,Cyprus,2011,441.3698630136986,161.95210710442535
176,Finland,2011,241.6438356164384,170.81643187411356
179,Germany,2011,429.041095890411,160.8445550349487
180,Greece,2011,653.4246575342465,196.8633991658141
181,Hungary,2011,458.6301369863014,324.38008810390653
183,Ireland,2011,409.3150684931507,142.0708122469588
185,Latvia,2011,369.8630136986301,388.5160292462349
186,Lithuania,2011,234.2465753424657,375.6509566079439
187,Luxembourg,2011,239.17808219178085,146.3988620794408
188,Malta,2011,288.4931506849315,178.54738677755714
189,Moldova,2011,327.94520547945206,469.76038030012097
190,Montenegro,2011,278.6301369863014,379.9944972581448
191,Norway,2011,419.1780821917808,137.3321603314843
192,Poland,2011,330.4109589041096,258.7479790943201
193,Portugal,2011,505.47945205479454,140.19186027431596
194,Romania,2011,332.8767123287671,410.6244057810365
195,Russia,2011,323.013698630137,513.1886748250373
196,Serbia,2011,175.06849315068496,477.81156847414064
197,Slovakia,2011,303.28767123287673,333.2294201144784
198,Slovenia,2011,310.6849315068493,173.27617735982804
200,Sweden,2011,416.71232876712327,153.60397088134695
202,Turkey,2011,613.972602739726,184.84993305333904
204,United Kingdom,2011,431.5068493150685,129.25957234667277
