,Entity,Year,Vegetable Oil
164,Albania,2011,133.15068493150685
165,Armenia,2011,192.3287671232877
166,Austria,2011,549.8630136986301
167,Azerbaijan,2011,56.71232876712329
168,Belarus,2011,429.041095890411
169,Belgium,2011,557.2602739726028
170,Bosnia and Herzegovina,2011,180.0
171,Bulgaria,2011,310.6849315068493
172,Croatia,2011,273.6986301369863
173,Cyprus,2011,441.3698630136986
174,Denmark,2011,184.93150684931504
175,Estonia,2011,152.87671232876713
176,Finland,2011,241.6438356164384
177,France,2011,517.8082191780821
178,Georgia,2011,106.02739726027396
179,Germany,2011,429.041095890411
180,Greece,2011,653.4246575342465
181,Hungary,2011,458.6301369863014
182,Iceland,2011,152.87671232876713
183,Ireland,2011,409.3150684931507
184,Italy,2011,690.4109589041095
185,Latvia,2011,369.8630136986301
186,Lithuania,2011,234.24657534246572
187,Luxembourg,2011,239.17808219178085
188,Malta,2011,288.4931506849315
189,Moldova,2011,327.94520547945206
190,Montenegro,2011,278.6301369863014
191,Norway,2011,419.1780821917808
192,Poland,2011,330.4109589041096
193,Portugal,2011,505.47945205479454
194,Romania,2011,332.8767123287671
195,Russia,2011,323.013698630137
196,Serbia,2011,175.06849315068496
197,Slovakia,2011,303.28767123287673
198,Slovenia,2011,310.6849315068493
199,Spain,2011,821.0958904109589
200,Sweden,2011,416.71232876712327
201,Switzerland,2011,495.6164383561644
202,Turkey,2011,613.972602739726
203,Ukraine,2011,315.6164383561644
204,United Kingdom,2011,431.5068493150685
