,Entity,Year,Animal protein,Plant protein,Total Fat,Total Carbohydrates,Total Protein,Vegetable Oil,Health Care Index,Deaths,VO%
17,Netherlands,2009,304.52,138.24,1142.82,1627.42,442.76,355.06849315068496,60.16,127.04162193722102,31.069502909529493
18,Netherlands,2010,288.08,142.96,1126.08,1650.88,431.04,392.05479452054794,60.16,122.26355204513416,34.81589181235329
19,Netherlands,2011,284.52,143.28,1102.23,1681.97,427.8,352.60273972602744,60.16,118.88888588572242,31.98994218321289
20,Poland,2007,201.92,196.44,1006.83,1958.81,398.36,276.16438356164383,39.02,302.01722544548187,27.42909761942372
21,Poland,2008,197.64,194.2,1009.62,1944.54,391.84,293.42465753424653,39.02,293.6870979622008,29.062880839746295
22,Poland,2009,205.44,197.2,1048.68,1966.68,402.64,320.54794520547944,39.02,284.98295846801125,30.56680257137348
23,Poland,2010,209.16,195.88,1054.62,1953.34,405.04,290.958904109589,39.02,268.10339639257734,27.58898030661177
24,Poland,2011,211.72,197.52,1063.08,1970.68,409.24,330.4109589041096,39.02,258.7479790943201,31.08053569854664
25,Russia,2007,205.84,188.24,845.73,2069.19,394.08,298.3561643835617,37.76,608.128849950662,35.277945015969834
26,Russia,2008,210.52,187.72,857.88,2055.88,398.24,298.3561643835617,37.76,601.3385510298949,34.778309831627
27,Russia,2009,212.64,185.84,862.47,2012.05,398.48,305.75342465753425,37.76,566.1767462053145,35.45090549903583
28,Russia,2010,216.8,187.04,898.2,1999.96,403.84,320.54794520547944,37.76,559.2963062251843,35.687813984132646
29,Russia,2011,216.88,188.16,909.27,2016.69,405.04,323.013698630137,37.76,513.1886748250373,35.52450852113641
30,Spain,2007,289.0,155.96,1325.52,1452.52,444.96,660.8219178082192,64.66,131.78025489222884,49.85378702759816
31,Spain,2008,272.36,159.96,1297.89,1477.79,432.3200000000001,687.945205479452,64.66,127.09848649809032,53.004892978561514
32,Spain,2009,271.4,160.68,1298.52,1474.4,432.08,739.7260273972602,64.66,120.0596993695238,56.96685668278195
33,Spain,2010,269.64,158.2,1296.09,1459.07,427.84,764.3835616438356,64.66,114.38879664426716,58.97611752608505
34,Spain,2011,265.28,158.24,1299.06,1469.42,423.52,821.0958904109589,64.66,111.92787960122328,63.20692580873546
35,Switzerland,2007,239.36,136.72,1400.94,1650.98,376.08,453.6986301369863,52.25,132.11595756155546,32.38530059367184
36,Switzerland,2008,239.52,134.16,1427.85,1643.47,373.68,485.75342465753425,52.25,127.29239880076474,34.019919785519086
37,Switzerland,2009,239.76,138.8,1410.3,1676.14,378.56,483.28767123287673,52.25,125.2900090843136,34.26843020867027
38,Switzerland,2010,243.08,136.12,1412.55,1656.25,379.2000000000001,488.2191780821918,52.25,120.72844335403526,34.5629661309116
39,Switzerland,2011,240.72,141.72,1426.5,1682.06,382.44,495.6164383561644,52.25,114.81379016898016,34.74352880169396
40,Turkey,2007,115.84,294.84,1021.59,2197.73,410.68,584.3835616438356,35.96,187.2455387758337,57.20333613718181
41,Turkey,2008,110.64,291.48,992.97,2199.91,402.12,552.3287671232877,35.96,183.64041082781267,55.623912819449494
42,Turkey,2009,112.48,290.4,1012.5,2205.62,402.88,576.986301369863,35.96,188.18046114303945,56.986301369863014
43,Turkey,2010,122.2,291.76,1023.84,2212.2,413.96,567.1232876712329,35.96,186.96242930899817,55.391788528601424
44,Turkey,2011,129.56,288.28,1085.58,2170.58,417.84,613.972602739726,35.96,184.84993305333904,56.55710336775972
45,United Kingdom,2007,238.2,179.6,1267.56,1731.64,417.8,414.24657534246575,61.73,156.29858252458504,32.68062855742259
46,United Kingdom,2008,230.76,180.76,1261.26,1749.22,411.52,451.2328767123288,61.73,151.14597493141633,35.77635671569136
47,United Kingdom,2009,230.36,178.0,1257.66,1745.98,408.36,451.2328767123288,61.73,142.04075144983247,35.878765064670006
48,United Kingdom,2010,231.72,176.52,1280.79,1714.97,408.24,461.09589041095893,61.73,135.9897180962311,36.00089713465587
49,United Kingdom,2011,234.28,177.44,1243.26,1762.02,411.72,431.5068493150685,61.73,129.25957234667277,34.707691819496205
